action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1689013,[],CHEMBL867199,"Inhibition of induction of NF-kappaB by LPS in HEK293 cells co-transfected with TLR4, CD14 and MD2",F,,,BAO_0000190,BAO_0000219,cell-based format,COc1c(/C=N/N=C(N)N)ccc(/C=N/NC(=N)N)c1OC.Cl.Cl,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1139003,Bioorg Med Chem Lett,2006,,CHEMBL534490,,CHEMBL1187942,,0,http://www.openphacts.org/units/Nanomolar,438664,=,1,1,=,,IC50,nM,,175000.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,175.0
,,1689014,[],CHEMBL867199,"Inhibition of induction of NF-kappaB by LPS in HEK293 cells co-transfected with TLR4, CD14 and MD2",F,,,BAO_0000190,BAO_0000219,cell-based format,Cl.Cl.N=C(N)N/N=C/c1ccc(/C=N/NC(=N)N)c(O)c1O,,,CHEMBL1139003,Bioorg Med Chem Lett,2006,,CHEMBL535159,,CHEMBL1188098,4.23,0,http://www.openphacts.org/units/Nanomolar,438663,=,1,1,=,,IC50,nM,,59100.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,59.1
,,1689015,[],CHEMBL867199,"Inhibition of induction of NF-kappaB by LPS in HEK293 cells co-transfected with TLR4, CD14 and MD2",F,,,BAO_0000190,BAO_0000219,cell-based format,Cl.Cl.N=C(N)N/N=C/c1ccc(/C=N/NC(=N)N)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1139003,Bioorg Med Chem Lett,2006,,CHEMBL534939,,CHEMBL403278,,0,http://www.openphacts.org/units/Nanomolar,438662,=,1,1,=,,IC50,nM,,164000.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,164.0
,,2397919,[],CHEMBL939463,Antagonist activity at TLR4 in human PBMC assessed as inhibition of LPS-stimulated TNFalpha production pre-incubated for 30 mins before LPS challenge measured after 18 hrs by ELISA,F,,,BAO_0000190,BAO_0000019,assay format,CCCCCCCCCCC[C@H](CC(=O)N[C@H]1[C@H](OC[C@H](NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCC)C(=O)O)O[C@H](CO)[C@@H](OP(=O)(O)O)[C@@H]1OC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCC)OC(=O)CCCCC,,,CHEMBL1152248,Bioorg Med Chem Lett,2008,,CHEMBL505526,,CHEMBL505526,8.62,0,http://www.openphacts.org/units/Nanomolar,804309,=,1,1,=,,IC50,nM,,2.4,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,nM,UO_0000065,,2.4
,,2397921,[],CHEMBL939463,Antagonist activity at TLR4 in human PBMC assessed as inhibition of LPS-stimulated TNFalpha production pre-incubated for 30 mins before LPS challenge measured after 18 hrs by ELISA,F,,,BAO_0000190,BAO_0000019,assay format,CCCCCCCCCCC[C@H](CC(=O)N[C@H]1[C@H](OC[C@H](NC(=O)C[C@@H](CCCCCCCCCCC)OCCCCCC)C(=O)O)O[C@H](CO)[C@@H](OP(=O)(O)O)[C@@H]1OC(=O)C[C@@H](CCCCCCCCCCC)OCCCCCC)OCCCCCC,,,CHEMBL1152248,Bioorg Med Chem Lett,2008,,CHEMBL501231,,CHEMBL501231,8.28,0,http://www.openphacts.org/units/Nanomolar,804311,=,1,1,=,,IC50,nM,,5.3,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,nM,UO_0000065,,5.3
,,2468814,[],CHEMBL990604,Inhibition of human TLR4-mediated cytokine production in mouse macrophages,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)C1=CCCCC1S(=O)(=O)Nc1ccc(Cl)cc1F,,,CHEMBL1142478,J Med Chem,2008,"{'bei': '18.78', 'le': '0.40', 'lle': '3.54', 'sei': '9.38'}",CHEMBL224563,,CHEMBL224563,6.80,0,http://www.openphacts.org/units/Nanomolar,801923,=,1,1,=,,IC50,nM,,160.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,nM,UO_0000065,,160.0
,,2468817,[],CHEMBL990601,Antagonist activity at human TLR4 expressed in HE293 cells by ELAM1-luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCC/C=C\CCCCCCCCCC(=O)N[C@H]1[C@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)CC(=O)CCCCCCCCCCC)[C@@H](OCCCCCCCCCC)[C@@H]2O)O[C@H](OC)[C@@H](OP(=O)([O-])[O-])[C@@H]1OCC[C@@H](CCCCCCC)OC.[Na+].[Na+].[Na+].[Na+],,,CHEMBL1142478,J Med Chem,2008,,CHEMBL2364541,ERITORAN TETRASODIUM,CHEMBL2364546,8.82,0,http://www.openphacts.org/units/Nanomolar,802001,=,1,1,=,,IC50,nM,,1.5,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,nM,UO_0000065,,1.5
,,2468836,[],CHEMBL990601,Antagonist activity at human TLR4 expressed in HE293 cells by ELAM1-luciferase reporter gene assay,F,,,BAO_0000190,BAO_0000219,cell-based format,Nc1ccccc1Oc1ccc2c(N)nsc2c1,,,CHEMBL1142478,J Med Chem,2008,,CHEMBL458612,,CHEMBL458612,5.16,0,http://www.openphacts.org/units/Nanomolar,801922,=,1,1,=,,IC50,nM,,7000.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,7.0
,,2468837,[],CHEMBL990604,Inhibition of human TLR4-mediated cytokine production in mouse macrophages,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)c1ccccc1S(=O)(=O)Nc1ccc(F)cc1Cl,,,CHEMBL1142478,J Med Chem,2008,,CHEMBL387665,,CHEMBL387665,,0,http://www.openphacts.org/units/Nanomolar,802000,>,1,1,>,,IC50,nM,,10000.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,nM,UO_0000065,,10000.0
,,2468838,[],CHEMBL990604,Inhibition of human TLR4-mediated cytokine production in mouse macrophages,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)C1=CCCCCC1S(=O)(=O)Nc1ccc(F)cc1Cl,,,CHEMBL1142478,J Med Chem,2008,"{'bei': '17.61', 'le': '0.38', 'lle': '2.97', 'sei': '9.13'}",CHEMBL375048,,CHEMBL375048,6.62,0,http://www.openphacts.org/units/Nanomolar,801999,=,1,1,=,,IC50,nM,,240.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,nM,UO_0000065,,240.0
,,2468839,[],CHEMBL990604,Inhibition of human TLR4-mediated cytokine production in mouse macrophages,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)C1=CCCC1S(=O)(=O)Nc1ccc(F)cc1Cl,,,CHEMBL1142478,J Med Chem,2008,"{'bei': '20.01', 'le': '0.43', 'lle': '4.09', 'sei': '9.60'}",CHEMBL224199,,CHEMBL224199,6.96,0,http://www.openphacts.org/units/Nanomolar,801998,=,1,1,=,,IC50,nM,,110.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,nM,UO_0000065,,110.0
,,2468840,[],CHEMBL990604,Inhibition of human TLR4-mediated cytokine production in mouse macrophages,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)C1=CCCCC1S(=O)(=O)NC1=NCCS1,,,CHEMBL1142478,J Med Chem,2008,,CHEMBL499811,,CHEMBL499811,,0,http://www.openphacts.org/units/Nanomolar,801997,>,1,1,>,,IC50,nM,,10000.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,nM,UO_0000065,,10000.0
,,2468841,[],CHEMBL990604,Inhibition of human TLR4-mediated cytokine production in mouse macrophages,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)C1=CCCCC1S(=O)(=O)Nc1ccc(F)cc1Cl,,,CHEMBL1142478,J Med Chem,2008,"{'bei': '23.48', 'le': '0.50', 'lle': '5.23', 'sei': '11.72'}",CHEMBL426184,,CHEMBL426184,8.49,0,http://www.openphacts.org/units/Nanomolar,801924,=,1,1,=,,IC50,nM,,3.2,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,nM,UO_0000065,,3.2
,,2468848,[],CHEMBL990602,Antagonist activity at TLR4 in human PBMC cells assessed as suppression of LPS-induced cytokine upregulation,F,,,BAO_0000190,BAO_0000219,cell-based format,Nc1ccccc1Oc1ccc2c(N)nsc2c1,,,CHEMBL1142478,J Med Chem,2008,,CHEMBL458612,,CHEMBL458612,5.52,0,http://www.openphacts.org/units/Nanomolar,801922,=,1,1,=,,IC50,nM,,3000.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,3.0
,,2468849,[],CHEMBL990605,Antagonist activity at TLR4 in human HL60 cells assessed as inhibition of LPS-induced cytokine production,F,,,BAO_0000190,BAO_0000219,cell-based format,CCCCCC/C=C\CCCCCCCCCC(=O)N[C@H]1[C@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)CC(=O)CCCCCCCCCCC)[C@@H](OCCCCCCCCCC)[C@@H]2O)O[C@H](OC)[C@@H](OP(=O)([O-])[O-])[C@@H]1OCC[C@@H](CCCCCCC)OC.[Na+].[Na+].[Na+].[Na+],,,CHEMBL1142478,J Med Chem,2008,,CHEMBL2364541,ERITORAN TETRASODIUM,CHEMBL2364546,8.82,0,http://www.openphacts.org/units/Nanomolar,802001,=,1,1,=,,IC50,nM,,1.5,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,nM,UO_0000065,,1.5
,,6343543,[],CHEMBL1827811,Inhibition of LPS-induced TLR4 activation in human whole blood assessed as inhibition of IL-8 release preincubated for 5 to 10 mins,B,,,BAO_0000190,BAO_0000357,single protein format,CCOc1ccc(OCC(O)CN(C)Cc2c(C)nn(Cc3ccccc3Cl)c2C)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1821673,J Med Chem,2011,,CHEMBL1223751,,CHEMBL1223751,,0,http://www.openphacts.org/units/Nanomolar,1456136,=,1,1,=,,IC50,nM,,110500.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,110.5
,,6343544,[],CHEMBL1827812,Inhibition of LPS-induced TLR4 activation in human whole blood assessed as inhibition of TNFalpha release preincubated for 5 to 10 mins,B,,,BAO_0000190,BAO_0000357,single protein format,CCOc1ccc(OCC(O)CN(C)Cc2c(C)nn(Cc3ccccc3Cl)c2C)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1821673,J Med Chem,2011,,CHEMBL1223751,,CHEMBL1223751,,0,http://www.openphacts.org/units/Nanomolar,1456136,=,1,1,=,,IC50,nM,,315600.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,315.6
,,6343545,[],CHEMBL1827813,Inhibition of LPS-induced TLR4 activation in human whole blood assessed as inhibition of IL-6 release preincubated for 5 to 10 mins,B,,,BAO_0000190,BAO_0000357,single protein format,CCOc1ccc(OCC(O)CN(C)Cc2c(C)nn(Cc3ccccc3Cl)c2C)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1821673,J Med Chem,2011,,CHEMBL1223751,,CHEMBL1223751,,0,http://www.openphacts.org/units/Nanomolar,1456136,=,1,1,=,,IC50,nM,,318400.0,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,uM,UO_0000065,,318.4
,Not Active,13832624,[],CHEMBL3088701,Antagonist activity at human TLR4 expressed in LPS-stimulated HEK293 cells co-expressing MDM2 and CD14 after 2 hrs by SEAP assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1nn(Cc2ccccc2Cl)c(C)c1CN(C)C(=O)/C=C/c1ccc2c(c1)OCO2,,,CHEMBL3085658,Eur J Med Chem,2013,,CHEMBL3087133,,CHEMBL3087133,,0,,1949408,,1,0,,,IC50,,,,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,,,,
,Not Active,13832625,[],CHEMBL3088701,Antagonist activity at human TLR4 expressed in LPS-stimulated HEK293 cells co-expressing MDM2 and CD14 after 2 hrs by SEAP assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1nn(Cc2ccccc2Cl)c(C)c1CN(C)C(=O)/C=C/c1cccs1,,,CHEMBL3085658,Eur J Med Chem,2013,,CHEMBL3087132,,CHEMBL3087132,,0,,1949407,,1,0,,,IC50,,,,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,,,,
,Not Active,13832626,[],CHEMBL3088701,Antagonist activity at human TLR4 expressed in LPS-stimulated HEK293 cells co-expressing MDM2 and CD14 after 2 hrs by SEAP assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1nn(Cc2ccccc2Cl)c(C)c1CN(C)CCn1nc2ccccn2c1=O,,,CHEMBL3085658,Eur J Med Chem,2013,,CHEMBL3087149,,CHEMBL3087149,,0,,1949424,,1,0,,,IC50,,,,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,,,,
,ND(Insoluble),13832627,[],CHEMBL3088701,Antagonist activity at human TLR4 expressed in LPS-stimulated HEK293 cells co-expressing MDM2 and CD14 after 2 hrs by SEAP assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ncc(CN(C)C[C@@H](O)COc2ccc(F)cc2)s1,,,CHEMBL3085658,Eur J Med Chem,2013,,CHEMBL3087147,,CHEMBL3087147,,0,,1949422,,1,0,,,IC50,,,,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,,,,
,ND(Insoluble),13832628,[],CHEMBL3088701,Antagonist activity at human TLR4 expressed in LPS-stimulated HEK293 cells co-expressing MDM2 and CD14 after 2 hrs by SEAP assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(OC[C@H](O)CN2CCc3ccccc3C2)cc1,,,CHEMBL3085658,Eur J Med Chem,2013,,CHEMBL3087146,,CHEMBL3087146,,0,,1949421,,1,0,,,IC50,,,,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,,,,
,Not Active,13832629,[],CHEMBL3088701,Antagonist activity at human TLR4 expressed in LPS-stimulated HEK293 cells co-expressing MDM2 and CD14 after 2 hrs by SEAP assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(Cc1nc2ccccc2s1)C[C@@H](O)COc1ccc(F)cc1,,,CHEMBL3085658,Eur J Med Chem,2013,,CHEMBL3087145,,CHEMBL3087145,,0,,1949420,,1,0,,,IC50,,,,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,,,,
,Not Active,13832630,[],CHEMBL3088701,Antagonist activity at human TLR4 expressed in LPS-stimulated HEK293 cells co-expressing MDM2 and CD14 after 2 hrs by SEAP assay,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1nn(-c2ccccc2)c(C)c1CN(C)C[C@@H](O)Cn1cccn1,,,CHEMBL3085658,Eur J Med Chem,2013,,CHEMBL3087143,,CHEMBL3087143,,0,,1949418,,1,0,,,IC50,,,,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,,,,
,Not Active,13832631,[],CHEMBL3088701,Antagonist activity at human TLR4 expressed in LPS-stimulated HEK293 cells co-expressing MDM2 and CD14 after 2 hrs by SEAP assay,B,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1ccc(OC[C@H](O)CNCc2nc3ccccc3s2)cc1,,,CHEMBL3085658,Eur J Med Chem,2013,,CHEMBL3087142,,CHEMBL3087142,,0,,1949417,,1,0,,,IC50,,,,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,,,,
,ND(Insoluble),13832632,[],CHEMBL3088701,Antagonist activity at human TLR4 expressed in LPS-stimulated HEK293 cells co-expressing MDM2 and CD14 after 2 hrs by SEAP assay,B,,,BAO_0000190,BAO_0000219,cell-based format,N/C(=N\C(=O)c1ccc(-c2ccccc2)cc1)Nc1nc2ccccc2o1,,,CHEMBL3085658,Eur J Med Chem,2013,,CHEMBL3087141,,CHEMBL3087141,,0,,1949416,,1,0,,,IC50,,,,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,,,,
,ND(Insoluble),13832633,[],CHEMBL3088701,Antagonist activity at human TLR4 expressed in LPS-stimulated HEK293 cells co-expressing MDM2 and CD14 after 2 hrs by SEAP assay,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccccc1CNC(=O)c1ccccc1NS(=O)(=O)c1ccc2[nH]c(=O)[nH]c2c1,,,CHEMBL3085658,Eur J Med Chem,2013,,CHEMBL3087140,,CHEMBL3087140,,0,,1949415,,1,0,,,IC50,,,,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,,,,
,ND(Insoluble),13832634,[],CHEMBL3088701,Antagonist activity at human TLR4 expressed in LPS-stimulated HEK293 cells co-expressing MDM2 and CD14 after 2 hrs by SEAP assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)c1ccc(NC(=O)CCc2csc(NC(=O)c3ccc[nH]c3=O)n2)cc1,,,CHEMBL3085658,Eur J Med Chem,2013,,CHEMBL3087139,,CHEMBL3087139,,0,,1949414,,1,0,,,IC50,,,,CHEMBL5255,Homo sapiens,Toll-like receptor 4,9606,,,IC50,,,,
